point_id,year,demand
0,2010.0,7.21
1,2010.0,8.84
2,2010.0,8.06
3,2010.0,7.35
4,2010.0,7.29
5,2010.0,7.39
6,2010.0,5.88
7,2010.0,11.49
8,2010.0,6.33
9,2010.0,8.58
10,2010.0,1.29
11,2010.0,8.68
12,2010.0,10.24
13,2010.0,6.99
14,2010.0,8.77
15,2010.0,8.22
16,2010.0,5.73
17,2010.0,8.87
18,2010.0,5.85
19,2010.0,6.44
20,2010.0,11.47
21,2010.0,12.53
22,2010.0,8.41
23,2010.0,8.37
24,2010.0,8.89
25,2010.0,16.13
26,2010.0,8.68
27,2010.0,17.48
28,2010.0,20.87
29,2010.0,17.12
30,2010.0,25.76
31,2010.0,19.66
32,2010.0,23.96
33,2010.0,18.97
34,2010.0,35.06
35,2010.0,20.58
36,2010.0,32.61
37,2010.0,31.52
38,2010.0,20.91
39,2010.0,26.07
40,2010.0,49.44
41,2010.0,32.94
42,2010.0,23.42
43,2010.0,34.18
44,2010.0,26.53
45,2010.0,60.34
46,2010.0,31.47
47,2010.0,21.5
48,2010.0,36.82
49,2010.0,8.19
50,2010.0,19.89
51,2010.0,32.52
52,2010.0,15.66
53,2010.0,6.82
54,2010.0,12.46
55,2010.0,18.17
56,2010.0,13.02
57,2010.0,7.32
58,2010.0,7.72
59,2010.0,8.11
60,2010.0,9.28
61,2010.0,12.01
62,2010.0,10.41
63,2010.0,8.53
64,2010.0,3.87
65,2010.0,3.74
66,2010.0,8.72
67,2010.0,3.94
68,2010.0,6.39
69,2010.0,8.82
70,2010.0,4.69
71,2010.0,4.87
72,2010.0,7.92
73,2010.0,7.82
74,2010.0,11.01
75,2010.0,8.5
76,2010.0,7.78
77,2010.0,5.44
78,2010.0,4.51
79,2010.0,6.86
80,2010.0,9.54
81,2010.0,8.8
82,2010.0,2.53
83,2010.0,6.43
84,2010.0,14.23
85,2010.0,8.89
86,2010.0,5.72
87,2010.0,19.78
88,2010.0,10.93
89,2010.0,14.97
90,2010.0,19.17
91,2010.0,13.78
92,2010.0,14.69
93,2010.0,37.66
94,2010.0,29.09
95,2010.0,30.48
96,2010.0,26.55
97,2010.0,17.59
98,2010.0,44.8
