supply_id,name,lat,lon,parking_slots,scs_2018,fcs_2018,scs_optimal,fcs_optimal,new_scs,new_fcs
0,MG Road,12.97655598402037,77.608773912213,10,0,0,0,10,0,10
1,Brigade Road,12.971780245134951,77.60906356127772,26,0,0,0,26,0,26
2,Cubbon Park,12.973843228276916,77.59269466949647,15,0,0,0,15,0,15
3,Richmond Town,12.96337583337579,77.6070580587469,13,0,0,0,13,0,13
4,Shivaji Nagar,12.987035658071202,77.6047537082505,46,0,1,0,46,0,45
5,Ulsoor,12.982724130561312,77.62239747157412,45,0,0,0,45,0,45
6,Indiranagar,12.971768296628685,77.64229083472537,24,0,0,0,24,0,24
7,Domlur,12.964402741033428,77.63978913416881,47,0,0,0,47,0,47
8,CV Raman Nagar,12.98550827873593,77.66423036048558,21,1,0,1,20,0,20
9,Koramangala,12.936604082568559,77.61455932810513,28,0,0,0,28,0,28
10,BTM Layout,12.918442074631383,77.61120317881542,49,0,0,0,49,0,49
11,HSR Layout,12.910445656734861,77.63894230132922,37,3,0,3,34,0,34
12,Bellandur,12.925070935619935,77.67973181956297,33,0,0,0,33,0,33
13,Sarjapur Road,12.900069933490736,77.6869217813197,38,0,0,0,38,0,38
14,Marathahalli,12.957137104095539,77.69884822408191,21,0,0,0,21,0,21
15,Whitefield,12.971222204396918,77.74971799513254,34,0,0,0,34,0,34
16,ITPL,12.985662448246849,77.73660042942181,47,2,1,2,45,0,44
17,Kadugodi,12.99090050947446,77.76274663701545,54,1,2,1,53,0,51
18,Hoodi,12.992739298064034,77.71669271963935,46,0,0,0,46,0,46
19,KR Puram,13.00362050931635,77.69449915861907,18,1,0,1,17,0,17
20,Mahadevapura,12.99001005166857,77.68530241084099,47,0,0,0,47,0,47
21,Panathur,12.939753174993117,77.69948166054782,53,0,0,0,53,0,53
22,Kundalahalli,12.968751307106592,77.7157537883679,50,3,1,3,47,0,46
23,Varthur,12.936944746266503,77.7413524438308,28,0,0,0,28,0,28
24,Electronic City Phase 1,12.845700239267545,77.65876998337124,50,0,0,0,50,0,50
25,Electronic City Phase 2,12.841037297581053,77.68327899248703,17,0,0,0,17,0,17
26,Bommanahalli,12.903054451690107,77.62325234133931,44,0,0,0,44,0,44
27,Bannerghatta Road,12.891138126255939,77.59843210223345,8,0,0,0,8,0,8
28,JP Nagar,12.910128663715586,77.58342994855542,10,0,0,0,10,0,10
29,Jayanagar,12.933517303697771,77.58461861161636,23,1,0,1,22,0,22
30,Banashankari,12.923888421232336,77.55356063014258,44,0,0,0,44,0,44
31,Basavanagudi,12.941470305679717,77.57412305857551,39,0,0,0,39,0,39
32,Chamrajpet,12.956009264478324,77.5660386446493,37,0,0,0,37,0,37
33,Vijayanagar,12.970892533862868,77.53191454420492,28,0,0,0,28,0,28
34,Rajajinagar,12.988157469222482,77.55590595566392,17,1,0,1,16,0,16
35,Malleshwaram,13.005727990087228,77.57037818662849,28,0,0,0,28,0,28
36,Yeshwanthpur,13.025817451799929,77.55382692829947,21,0,0,0,21,0,21
37,Peenya,13.032559438235378,77.52093600140687,33,0,0,0,33,0,33
38,Nagarbhavi,12.959925917785423,77.50929511350445,30,2,0,2,28,0,28
39,Rajarajeshwari Nagar,12.925649820590126,77.52307268930417,28,0,0,0,28,0,28
40,Kengeri,12.908551152180056,77.48236476364754,42,0,0,0,42,0,42
41,Vidyaranyapura,13.066142819593844,77.56097710730234,31,2,0,2,29,0,29
42,Yelahanka,13.09961262443097,77.59813142108405,36,2,1,2,34,0,33
43,Yelahanka New Town,13.114938654636143,77.59415532182621,40,0,0,0,40,0,40
44,Hebbal,13.035705914556855,77.59665955552528,17,0,0,0,17,0,17
45,RT Nagar,13.023266099940123,77.5926338170138,43,0,0,0,43,0,43
46,Sanjaynagar,13.018913478630568,77.57489600635556,33,0,0,0,33,0,33
47,Kammanahalli,13.015378833171875,77.63598405526434,11,0,0,0,11,0,11
48,HBR Layout,13.021963483167523,77.63702444213205,19,0,0,0,19,0,19
49,Kalyan Nagar,13.022176286240764,77.64539526377912,51,4,2,4,47,0,45
50,Frazer Town,12.99858952892558,77.61399333820884,43,0,0,0,43,0,43
51,Cox Town,12.997567659311922,77.61590714230327,46,3,0,3,43,0,43
52,Banaswadi,13.0154562759719,77.6533880373989,23,0,0,0,23,0,23
53,Old Airport Road,12.963032455728115,77.65516418958872,8,0,0,0,8,0,8
54,HAL Airport Road,12.949109653745525,77.64656862047352,17,0,0,0,17,0,17
55,Wilson Garden,12.952922575109715,77.5943223925877,20,0,0,0,20,0,20
56,Shanti Nagar,12.957295504715646,77.59796576304113,13,0,0,0,13,0,13
57,Attibele,12.832,77.75942099015278,27,0,0,0,27,0,27
58,Anekal,12.832,77.69852071688413,36,0,0,0,36,0,36
59,Hennur,13.042732545153136,77.62870405764039,15,0,0,0,15,0,15
60,Jalahalli,13.048320565592256,77.5479776770281,30,0,0,0,30,0,30
61,MG Road #61,12.97079640898864,77.60381092275497,25,0,0,0,25,0,25
62,Brigade Road #62,12.974393148713181,77.6051389914408,47,0,0,0,47,0,47
63,Cubbon Park #63,12.977806229249207,77.59144630790833,14,0,0,0,14,0,14
64,Richmond Town #64,12.96174160494059,77.60242316416046,9,0,0,0,9,0,9
65,Shivaji Nagar #65,12.994450838743354,77.60221537856788,15,0,0,0,15,0,15
66,Ulsoor #66,12.985928741877567,77.61348747839023,49,0,0,0,49,0,49
67,Indiranagar #67,12.970353109301213,77.63372010598209,31,0,0,0,31,0,31
68,Domlur #68,12.955683042820977,77.64317116340158,44,0,0,0,44,0,44
69,CV Raman Nagar #69,12.985045573620623,77.66657494651616,9,0,0,0,9,0,9
70,Koramangala #70,12.922193291563909,77.62080803445275,54,5,2,5,49,0,47
71,BTM Layout #71,12.912026957890882,77.61083005925562,12,0,0,0,12,0,12
72,HSR Layout #72,12.922767016051255,77.64050238580505,43,0,0,0,43,0,43
73,Bellandur #73,12.931203490662378,77.69039303224797,25,0,0,0,25,0,25
74,Sarjapur Road #74,12.899365437586422,77.6831028665814,53,0,0,0,53,0,53
75,Marathahalli #75,12.95699681902835,77.70187700421062,45,2,0,2,43,0,43
76,Whitefield #76,12.963026538377479,77.74523053833755,43,1,1,1,42,0,41
77,ITPL #77,12.991721230543137,77.74001718732698,50,1,2,1,49,0,47
